#p	 replica	 essentials	 correct	 fp	 fn
0.64	7	465	0.7298850574712644	0.1781609195402299	0.09195402298850575
0.66	7	468	0.735632183908046	0.1781609195402299	0.08620689655172414
0.68	7	474	0.7471264367816092	0.1781609195402299	0.07471264367816093
0.7000000000000001	7	473	0.7452107279693486	0.1781609195402299	0.07662835249042145
0.72	7	474	0.7394636015325671	0.18199233716475097	0.07854406130268199
0.74	7	472	0.7394636015325671	0.18007662835249041	0.08045977011494253
0.76	7	471	0.7375478927203065	0.18007662835249041	0.08237547892720307
0.78	7	470	0.735632183908046	0.18007662835249041	0.0842911877394636
0.8	7	473	0.7375478927203065	0.18199233716475097	0.08045977011494253
0.8200000000000001	7	475	0.7413793103448276	0.18199233716475097	0.07662835249042145
0.84	7	474	0.7394636015325671	0.18199233716475097	0.07854406130268199
0.86	7	479	0.7490421455938697	0.18199233716475097	0.06896551724137931
0.88	7	482	0.7547892720306514	0.18199233716475097	0.06321839080459771
0.9	7	483	0.764367816091954	0.1781609195402299	0.05747126436781609
0.92	7	485	0.7605363984674329	0.18199233716475097	0.05747126436781609
0.9400000000000001	7	486	0.7586206896551724	0.1839080459770115	0.05747126436781609
0.96	7	487	0.764367816091954	0.18199233716475097	0.05363984674329502
0.98	7	490	0.7701149425287356	0.18199233716475097	0.04789272030651341
1.0	7	498	0.7777777777777778	0.18582375478927204	0.03639846743295019
0.0	1	200	0.5440613026819924	0.017241379310344827	0.4386973180076628
0.02	1	234	0.5478927203065134	0.04789272030651341	0.4042145593869732
0.04	1	258	0.5670498084291188	0.06130268199233716	0.3716475095785441
0.06	1	287	0.5804597701149425	0.08237547892720307	0.3371647509578544
0.08	1	309	0.6111111111111112	0.08812260536398467	0.3007662835249042
0.1	1	327	0.6340996168582376	0.09386973180076628	0.2720306513409962
0.12	1	348	0.6245210727969349	0.11877394636015326	0.2567049808429119
0.14	1	351	0.6187739463601533	0.12452107279693486	0.2567049808429119
0.16	1	362	0.6053639846743295	0.1417624521072797	0.25287356321839083
0.18	1	373	0.60727969348659	0.15134099616858238	0.2413793103448276
0.2	1	386	0.6360153256704981	0.14942528735632185	0.21455938697318008
0.22	1	379	0.6149425287356322	0.1532567049808429	0.23180076628352492
0.24	1	390	0.6245210727969349	0.15900383141762453	0.2164750957854406
0.26	1	400	0.6398467432950191	0.16091954022988506	0.19923371647509577
0.28	1	404	0.6513409961685823	0.15900383141762453	0.1896551724137931
0.3	1	413	0.6724137931034483	0.15708812260536398	0.17049808429118773
0.32	1	418	0.6973180076628352	0.14942528735632185	0.1532567049808429
0.34	1	423	0.6839080459770115	0.16091954022988506	0.15517241379310345
0.36	1	422	0.6781609195402298	0.16283524904214558	0.15900383141762453
0.38	1	428	0.6819923371647509	0.16666666666666666	0.15134099616858238
0.4	1	432	0.6896551724137931	0.16666666666666666	0.14367816091954022
0.42	1	434	0.7049808429118773	0.16091954022988506	0.13409961685823754
0.44	1	438	0.7164750957854407	0.15900383141762453	0.12452107279693486
0.46	1	441	0.710727969348659	0.16475095785440613	0.12452107279693486
0.48	1	446	0.7203065134099617	0.16475095785440613	0.11494252873563218
0.5	1	450	0.7203065134099617	0.1685823754789272	0.1111111111111111
0.52	1	455	0.7222222222222222	0.1724137931034483	0.1053639846743295
0.54	1	465	0.7375478927203065	0.1743295019157088	0.08812260536398467
0.56	1	463	0.7375478927203065	0.1724137931034483	0.09003831417624521
0.58	1	469	0.7413793103448276	0.17624521072796934	0.08237547892720307
0.6	1	475	0.7375478927203065	0.1839080459770115	0.07854406130268199
0.62	1	482	0.7471264367816092	0.18582375478927204	0.06704980842911877
0.64	1	489	0.7528735632183908	0.1896551724137931	0.05747126436781609
